Zipcode,Current Population,EVs on the Road,BEVs per 1k People,PHEVs per 1k People,DCFC Ports,Level 2 Ports,DCFC per 1k People,Level 2 per 1k People,Sum of Travel Time to Work (Less than 10 minutes),Sum of Travel Time to Work (10 to 14 minutes),Sum of Travel Time to Work (15 to 19 minutes),Sum of Travel Time to Work (20 to 24 minutes),Sum of Travel Time to Work (25 to 29 minutes),Sum of Travel Time to Work (30 to 34 minutes),Sum of Travel Time to Work (35 to 44 minutes),Sum of Travel Time to Work (45 to 59 minutes),Sum of Travel Time to Work (60 or more minutes),Sum of Median Household Income in Past 12 Months,ChargePoint Network (hours),EV Connect (hours),GE WattStation(hours),ChargePoint Network (kWh),EV Connect (kWh),GE WattStation (kWh),ChargePoint Network (count),EV Connect (count),GE WattStation (count),Total Sum of Charging Time (hours),Total Sum of Energy (kWh),Total Sum of Active Station Count
11236,"100,633",56,0.28,0.28,,,1.52,48.39,8149,10572,16986,26292,8719,45842,26296,48817,127736,"$427,038.00 ",,,,,,,,,,,,
11237,"52,319",20,0.19,0.19,,,2.92,93.08,6778,10536,7764,10742,6207,35047,23541,38824,32960,"$300,722.00 ",,,,,,,,,,,,
11238,"55,398",98,0.88,0.88,,6,166.72,"1,018.56",4646,5828,10216,14824,8598,37022,35748,49778,29266,"$487,380.00 ",,,,,,,,,,,,
11239,"12,713",18,0.71,0.71,,,12.03,383.07,768,1207,1520,1188,673,3287,3693,5191,11385,"$179,540.00 ",,,,,,,,,,,,
11243,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11248,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
11249,,616,,,4,26,,,,,,,,,,,,,,,,,,,,,,,,
11425,0,,,,,,,,0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
Lewis County,"25,580",32,0.63,0.63,,1,363.17,"2,265.17",18118,10246,10296,8590,3487,5528,4282,6268,5772,"($661,698,257.00)",,,,,,,,,,,,
13305,417,,,,,,366.91,"11,678.66",102,65,110,205,29,121,156,203,81,"$484,756.00 ",,,,,,,,,,,,
13312,424,,,,,,360.85,"11,485.85",138,99,110,135,5,112,67,73,157,"$295,376.00 ",,,,,,,,,,,,
13325,"1,066",,,,,,143.53,"4,568.48",783,460,302,268,110,238,261,496,242,"$351,687.00 ",,,,,,,,,,,,
13327,"1,983",4,1.01,1.01,,,77.16,"2,455.87",1032,744,1089,1051,322,531,117,504,679,"$310,173.00 ",,,,,,,,,,,,
13343,"1,794",,,,,,85.28,"2,714.60",657,1073,1552,610,62,118,171,440,472,"$344,148.00 ",,,,,,,,,,,,
13345,158,2,6.33,6.33,,,968.35,"30,822.78",52,58,129,306,61,40,0,65,43,"($666,448,211.00)",,,,,,,,,,,,
13367,"8,527",16,0.94,0.94,,,17.94,571.13,9380,3820,2956,1432,889,1380,1410,1784,1439,"$353,513.00 ",,,,,,,,,,,,
13368,"1,170",4,1.71,1.71,,1,"7,940.17","49,523.93",705,464,488,585,196,145,78,350,503,"$337,565.00 ",,,,,,,,,,,,
13404,170,,,,,,900,"28,647.06",77,280,164,0,4,16,54,18,26,"$296,250.00 ",,,,,,,,,,,,
13433,"1,862",,,,,,82.17,"2,615.47",1023,871,625,611,123,310,268,474,511,"$276,632.00 ",,,,,,,,,,,,
13473,569,,,,,,268.89,"8,558.88",570,339,257,173,55,132,135,186,328,"$352,189.00 ",,,,,,,,,,,,
13489,615,,,,,,248.78,"7,918.70",160,161,84,193,113,338,158,204,155,"$340,020.00 ",,,,,,,,,,,,
