Zipcode,Current Population,EVs on the Road,BEVs per 1k People,PHEVs per 1k People,DCFC Ports,Level 2 Ports,DCFC per 1k People,Level 2 per 1k People,Sum of Travel Time to Work (Less than 10 minutes),Sum of Travel Time to Work (10 to 14 minutes),Sum of Travel Time to Work (15 to 19 minutes),Sum of Travel Time to Work (20 to 24 minutes),Sum of Travel Time to Work (25 to 29 minutes),Sum of Travel Time to Work (30 to 34 minutes),Sum of Travel Time to Work (35 to 44 minutes),Sum of Travel Time to Work (45 to 59 minutes),Sum of Travel Time to Work (60 or more minutes),Sum of Median Household Income in Past 12 Months,ChargePoint Network (hours),EV Connect (hours),GE WattStation(hours),ChargePoint Network (kWh),EV Connect (kWh),GE WattStation (kWh),ChargePoint Network (count),EV Connect (count),GE WattStation (count),Total Sum of Charging Time (hours),Total Sum of Energy (kWh),Total Sum of Active Station Count
New York,"19,798,084","94,732",2.39,2.39,498,"3,461",0.6,3.26,6225106,6636193,7240567,7605431,3202811,8534945,4706280,6316645,10066421,"($435,907,227,393.00)",41391,6780,11472,1483915.402,221638.701,223789.314,6625,1805,2238,59643,1929343.417,10668
Albany County,"289,086","2,570",4.45,4.45,37,215,40.65,221.56,133906,172238,210254,178900,62804,103737,39059,29947,28071,"($8,651,786,006.00)",2331,313,2724,60815.339,8892.108,81917.451,425,155,645,5368,151624.898,1225
12007,0,,,,,,,,0,43,0,0,0,35,45,0,0,"($2,666,469,551.00)",,,,,,,,,,,,
12009,"7,841",76,4.85,4.85,1,,515.5,"4,030.86",2702,2697,3098,4439,3186,5041,2314,1458,660,"$594,351.00 ",,,,,,,,,,,,
12023,"2,108",20,4.74,4.74,,,72.58,"2,310.25",738,479,403,605,533,612,1741,1541,490,"$437,166.00 ",,,,,,,,,,,,
12041,676,4,2.96,2.96,,,226.33,"7,204.14",121,109,188,350,531,130,214,132,34,"$408,688.00 ",,,,,,,,,,,,
12045,347,2,2.88,2.88,,2,"20,910.66","134,997.12",514,30,3,175,145,343,44,25,41,"$307,517.00 ",,,,,,,,,,,,
12046,"1,069",4,1.87,1.87,,,143.12,"4,555.66",183,229,438,470,450,407,409,135,231,"$538,071.00 ",,,,,,,,,,,,
12047,"20,765",128,3.08,3.08,,10,355.89,"2,303.44",8306,8565,16865,15621,5404,7520,2640,1793,1469,"$350,302.00 ",,,,,,,,,,,,
12054,"17,100",252,7.37,7.37,,2,665.85,"3,687.13",6944,8726,12427,14520,4285,6275,1574,1459,1222,"$669,683.00 ",363,,,2539.117,,,65,,,363,2539.117,65
12059,"1,657",10,3.02,3.02,,,92.34,"2,939.05",175,334,348,415,438,1267,1543,962,338,"$530,685.00 ",,,,,,,,,,,,
12067,"1,619",16,4.94,4.94,,,94.5,"3,008.03",496,613,573,674,539,836,825,293,298,"$468,147.00 ",,,,,,,,,,,,
12077,"6,701",64,4.78,4.78,,4,549.77,"4,388.00",2077,3257,4763,4547,1809,2299,508,1071,497,"$615,288.00 ",,,292,,,5224.733,,,84,292,5224.733,84
12084,"4,960",34,3.43,3.43,,8,"1,865.93","11,439.31",1543,2873,3352,3116,1472,2511,805,375,585,"$496,878.00 ",,,,,,,,,,,,
12085,448,,,,,,341.52,"10,870.54",155,145,235,208,103,421,111,20,0,"$338,298.00 ",,,,,,,,,,,,
12110,"22,684",140,3.09,3.09,,25,485.19,"2,741.01",11568,14081,15619,16018,4659,6576,2111,1326,1583,"$525,450.00 ",652,,716,19367.596,,26788.086,95,,241,1368,46155.682,336
12120,587,8,6.81,6.81,,,260.65,"8,296.42",194,97,197,215,29,232,240,396,221,"$373,719.00 ",,,,,,,,,,,,
12128,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12143,"4,750",22,2.32,2.32,,,32.21,"1,025.26",2279,1660,1242,2945,2506,3163,1739,661,484,"$382,660.00 ",,,,,,,,,,,,
12147,586,2,1.71,1.71,,,261.09,"8,310.58",179,122,99,155,34,175,160,251,314,"$461,704.00 ",,,,,,,,,,,,
12158,"7,116",68,4.78,4.78,,2,158.23,"2,206.44",2611,2458,3618,5415,2932,3320,1586,872,1493,"$553,612.00 ",530,,,5788.952,,,50,,,530,5788.952,50
12159,"7,614",132,8.67,8.67,,4,"1,221.83","7,662.73",2713,4281,6396,6042,2273,2893,675,780,689,"$619,218.00 ",,,712,,,22722.058,,,130,712,22722.058,130
12161,187,2,5.35,5.35,,,818.18,"26,042.78",0,83,190,28,27,333,76,0,0,"($1,332,890,854.00)",,,,,,,,,,,,
12183,"2,621",4,0.76,0.76,,,58.37,"1,858.07",1642,1916,2429,1245,728,510,481,52,227,"$377,258.00 ",,,,,,,,,,,,
12186,"6,232",90,7.22,7.22,1,1,"1,490.69","9,297.66",2293,1702,2530,4928,2533,4405,1413,453,452,"$607,692.00 ",,,,,,,,,,,,
12189,"17,650",98,2.78,2.78,,28,643.74,"3,567.37",7757,10536,14949,14524,3813,6741,2091,1410,1929,"$339,500.00 ",,,,,,,,,,,,
12193,"1,845",8,2.17,2.17,,,82.93,"2,639.57",249,438,150,614,308,1435,1616,1060,424,"$511,062.00 ",,,,,,,,,,,,
12201,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12202,"9,312",18,0.97,0.97,,,16.43,522.98,3469,5784,5145,3918,1509,3603,1318,1059,1461,"$198,279.00 ",,,,,,,,,,,,
12203,"31,125",224,3.6,3.6,20,31,299.69,"1,879.94",15856,24955,25367,15639,4485,9396,3035,2791,3011,"$374,176.00 ",786,,,33119.674,,,215,,,786,33119.674,215
12204,"7,518",46,3.06,3.06,,,20.35,647.78,3637,7056,6434,4057,1300,1745,464,725,989,"$357,576.00 ",,,,,,,,,,,,
12205,"26,480",130,2.45,2.45,13,31,424.02,"2,363.82",17069,17826,22384,18461,4632,9471,2779,2547,2495,"$449,551.00 ",,,503,,,5365.224,,,100,503,5365.224,100
12206,"16,036",38,1.18,1.18,2,19,732.85,"3,994.08",6467,7356,9310,7273,2180,4276,1373,1557,1060,"$193,945.00 ",,,,,,,,,,,,
12207,"1,642",240,73.08,73.08,,22,"5,660.17","35,348.96",422,338,575,832,186,376,58,69,202,"$84,665.00 ",,,,,,,,,,,,
12208,"21,736",178,4.09,4.09,,8,531.38,"2,919.99",11703,17883,22310,13027,4972,5921,1564,1589,1957,"$401,844.00 ",,,,,,,,,,,,
12209,"10,452",52,2.49,2.49,,4,777.65,"5,094.53",6466,7413,7908,5841,1902,4891,1416,724,1497,"$384,271.00 ",,,,,,,,,,,,
12210,"9,372",48,2.56,2.56,,,16.33,519.63,5127,6854,8497,5565,1450,3249,873,1476,713,"$281,849.00 ",,,501,,,21817.35,,,90,501,21817.35,90
12211,"11,362",116,5.1,5.1,,2,817.99,"5,113.98",5376,8358,11086,5954,1219,2818,465,351,664,"$655,563.00 ",,313,,,8892.108,,,155,,313,8892.108,155
12212,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
12222,"6,261",14,1.12,1.12,,6,868.07,"7,036.42",2810,2745,859,768,147,380,389,121,51,"($4,666,666,662.00)",,,,,,,,,,,,
12226,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12229,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12232,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12233,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12237,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12238,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12246,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12469,627,4,3.19,3.19,,,244.02,"7,767.15",65,196,267,296,85,131,364,413,290,"$352,393.00 ",,,,,,,,,,,,
Allegany County,"46,338",94,1.01,1.01,,2,214.47,"1,289.81",39813,19264,15660,15655,7083,12818,7293,7002,8287,"($659,043,603.00)",,,,,,,,,,,,
14707,216,,,,,,708.33,"22,546.30",111,119,172,72,0,67,9,11,31,"$343,159.00 ",,,,,,,,,,,,
14708,184,,,,,,831.52,"26,467.39",0,9,114,184,66,157,67,22,21,"$380,617.00 ",,,,,,,,,,,,
14709,"1,492",2,0.67,0.67,,,102.55,"3,264.08",824,693,309,365,452,465,275,274,254,"$302,727.00 ",,,,,,,,,,,,
14711,"2,072",12,2.9,2.9,,,73.84,"2,350.39",1019,534,516,629,169,797,562,330,423,"$301,848.00 ",,,,,,,,,,,,
14714,512,,,,,,298.83,"9,511.72",255,244,158,180,188,191,51,23,107,"$312,242.00 ",,,,,,,,,,,,
14715,"2,913",8,1.37,1.37,,,52.52,"1,671.82",1606,280,870,1405,572,1483,602,499,480,"$293,243.00 ",,,,,,,,,,,,
14717,469,2,2.13,2.13,,,326.23,"10,383.80",205,176,90,56,207,186,188,128,193,"$273,787.00 ",,,,,,,,,,,,
14721,130,,,,,,"1,176.92","37,461.54",42,52,6,64,97,38,78,76,0,"($666,519,198.00)",,,,,,,,,,,,
14727,"5,114",6,0.59,0.59,,,29.92,952.29,3657,1765,1759,2854,1375,1718,1176,862,693,"$337,384.00 ",,,,,,,,,,,,
14735,"2,879",2,0.35,0.35,,,53.14,"1,691.56",1752,1154,682,602,271,881,503,777,933,"$269,694.00 ",,,,,,,,,,,,
14739,"2,677",2,0.37,0.37,,,57.15,"1,819.20",883,547,929,941,596,1472,413,242,547,"$266,646.00 ",,,,,,,,,,,,
14744,"2,186",4,0.91,0.91,,2,"4,546.20","27,340.81",3989,727,416,309,134,53,158,318,181,"$355,856.00 ",,,,,,,,,,,,
14754,624,,,,,,245.19,"7,804.49",129,234,152,309,349,428,110,108,172,"$316,854.00 ",,,,,,,,,,,,
14774,82,2,12.2,12.2,,,"1,865.85","59,390.24",91,16,44,123,28,62,69,25,35,"$291,187.00 ",,,,,,,,,,,,
14777,579,,,,,,264.25,"8,411.05",422,117,175,349,266,23,316,44,165,"$310,762.00 ",,,,,,,,,,,,
14802,"4,224",18,2.13,2.13,,,36.22,"1,152.94",7439,2193,1058,299,140,285,123,179,276,"$182,294.00 ",,,,,,,,,,,,
14803,918,2,1.09,1.09,,,166.67,"5,305.01",1167,302,481,378,267,138,19,134,169,"$337,605.00 ",,,,,,,,,,,,
14804,"1,296",2,0.77,0.77,,,118.06,"3,757.72",892,1263,721,533,273,445,123,213,273,"$403,223.00 ",,,,,,,,,,,,
14806,"2,108",8,1.9,1.9,,,72.58,"2,310.25",896,1009,1293,1125,289,476,224,421,392,"$353,379.00 ",,,,,,,,,,,,
14813,"2,519",8,1.59,1.59,,,60.74,"1,933.31",1589,547,1353,1095,410,731,437,127,580,"$306,062.00 ",,,,,,,,,,,,
14822,"1,292",4,1.55,1.55,,,118.42,"3,769.35",678,171,368,428,170,315,144,322,592,"$266,237.00 ",,,,,,,,,,,,
14880,"1,404",4,1.42,1.42,,,108.97,"3,468.66",935,1226,858,520,47,207,153,156,155,"$327,972.00 ",,,,,,,,,,,,
14884,219,,,,,,698.63,"22,237.44",37,28,34,98,57,236,57,32,144,"$346,427.00 ",,,,,,,,,,,,
14895,"9,463",10,0.53,0.53,,,16.17,514.64,10550,5666,2965,2296,425,1625,1281,1443,1337,"$282,463.00 ",,,,,,,,,,,,
14897,766,2,1.31,1.31,,,199.74,"6,357.70",645,192,137,441,235,339,155,236,134,"$313,927.00 ",,,,,,,,,,,,
Bronx County,"1,458,572","1,032",0.35,0.35,12,37,6.67,40.47,169400,208475,262557,296840,109475,544301,288233,602493,1213733,"$6,900,993.00 ",1103,423,,28851.495,24939.105,,162,127,,1526,53790.6,289
10451,"48,240",16,0.17,0.17,,4,51,442.77,4791,5446,5568,8233,3187,21375,11945,22477,27885,"$184,982.00 ",,10,,,42.64,,,5,,10,42.64,5
10452,"77,983",16,0.1,0.1,,,1.96,62.45,7475,9836,11744,16382,5465,33574,18129,38571,46124,"$182,387.00 ",,,,,,,,,,,,
10453,"82,232",16,0.1,0.1,,,1.86,59.22,9753,10997,13449,15686,4121,31192,17630,36401,57373,"$173,335.00 ",,,,,,,,,,,,
10454,"38,654",84,1.09,1.09,,,3.96,125.99,3910,4104,5039,5329,2269,15813,7723,17598,22390,"$142,184.00 ",,,,,,,,,,,,
10455,"42,558",38,0.45,0.45,,,3.6,114.43,5107,4724,5313,5924,2604,16727,10223,14230,25773,"$163,518.00 ",,,,,,,,,,,,
10456,"94,667",14,0.07,0.07,,,1.62,51.44,10987,8311,11173,15647,6181,35630,16728,36137,63475,"$168,115.00 ",,,,,,,,,,,,
10457,"75,668",16,0.11,0.11,,,2.02,64.36,9353,7490,10369,13531,5343,23695,14470,26944,50515,"$176,567.00 ",,,,,,,,,,,,
10458,"85,157",20,0.12,0.12,,2,5.32,124.86,11838,11435,12892,16023,5472,26368,17451,36804,58001,"$189,332.00 ",,,,,,,,,,,,
10459,"48,895",8,0.08,0.08,,,3.13,99.6,4608,5434,6233,8055,2507,17811,9852,15101,35895,"$166,560.00 ",,,,,,,,,,,,
10460,"60,772",20,0.16,0.16,,5,125.17,812,5936,5272,9795,9668,5691,17283,12432,27663,44233,"$165,771.00 ",654,,,14221.734,,,113,,,654,14221.734,113
10461,"51,021",56,0.55,0.55,,2,10.66,270.59,9750,15009,15257,14849,5677,19260,9514,20434,45030,"$368,800.00 ",449,,,14629.761,,,49,,,449,14629.761,49
10462,"79,188",52,0.33,0.33,,,1.93,61.5,7667,12106,17218,15038,6874,29262,17894,40024,90085,"$326,161.00 ",,,,,,,,,,,,
10463,"72,863",120,0.82,0.82,,4,104.62,718.24,10820,12325,13824,15229,7484,26331,16993,35390,70120,"$387,330.00 ",,,,,,,,,,,,
10464,"4,517",22,2.44,2.44,,,33.87,"1,078.15",1553,1184,2799,1042,393,1547,1281,915,4170,"$514,088.00 ",,,,,,,,,,,,
10465,"44,269",78,0.88,0.88,,,3.46,110.01,7354,11456,13979,14755,5068,19883,8513,14492,38167,"$484,772.00 ",,,,,,,,,,,,
10466,"73,569",42,0.29,0.29,,2,10.44,197.41,5942,11380,16171,19881,6473,32591,11374,26290,75457,"$313,112.00 ",,,,,,,,,,,,
10467,"102,718",40,0.19,0.19,,7,90.44,564.1,11188,16085,18991,20402,8354,34785,16634,44097,96599,"$248,124.00 ",,178,,,2302.759,,,49,,178,2302.759,49
10468,"77,657",18,0.12,0.12,,9,125.27,760.15,8562,9163,12335,13554,5616,29032,18910,40582,65864,"$237,223.00 ",,235,,,22593.706,,,73,,235,22593.706,73
10469,"73,008",64,0.44,0.44,,,2.1,66.71,6788,13562,17977,22041,6519,29599,11033,29692,66995,"$402,953.00 ",,,,,,,,,,,,
10470,"14,592",12,0.41,0.41,,,10.49,333.74,2014,3139,3880,4421,2000,6617,3660,5972,15476,"$398,701.00 ",,,,,,,,,,,,
10471,"22,040",132,2.99,2.99,,,6.94,220.96,4043,4519,3922,4932,2724,9044,4112,9697,20760,"$531,947.00 ",,,,,,,,,,,,
10472,"68,924",22,0.16,0.16,,,2.22,70.66,8234,9569,11590,11652,3572,23666,12883,26556,65888,"$212,671.00 ",,,,,,,,,,,,
10473,"62,531",34,0.27,0.27,,2,8.64,212.68,6590,7871,10321,12838,3842,23901,9960,18081,60928,"$262,403.00 ",,,,,,,,,,,,
10474,"12,608",72,2.86,2.86,,,12.14,386.26,1537,2674,2593,1749,456,2684,1502,3423,9211,"$177,218.00 ",,,,,,,,,,,,
10475,"44,241",20,0.23,0.23,12,,193.44,"1,244.37",3600,5384,10125,9979,1583,16631,7387,14922,57319,"$322,739.00 ",,,,,,,,,,,,
Broome County,"200,607",788,1.96,1.96,10,19,48.88,295.46,109815,136559,125703,102016,31505,43901,13801,14711,25494,"($9,325,984,962.00)",,,434,,,2303.666,,,78,434,2303.666,78
13737,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13744,"1,193",,,,,,128.25,"4,082.15",757,567,637,1472,306,455,246,33,189,"$425,958.00 ",,,,,,,,,,,,
13745,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13746,"2,027",8,1.97,1.97,,,75.48,"2,402.57",183,876,782,1866,859,1139,258,150,528,"$353,052.00 ",,,,,,,,,,,,
13748,"3,687",8,1.08,1.08,,,41.5,"1,320.86",1831,966,3089,3287,787,1351,295,270,588,"$347,115.00 ",,,,,,,,,,,,
13754,"3,368",6,0.89,0.89,,,45.43,"1,445.96",3225,1230,910,666,180,764,942,1068,766,"$294,664.00 ",,,,,,,,,,,,
13760,"43,670",210,2.4,2.4,,2,67.62,573.46,26745,31054,30634,25234,7699,8642,2053,2849,5505,"$363,725.00 ",,,,,,,,,,,,
13777,390,2,2.56,2.56,,,392.31,"12,487.18",79,71,117,377,301,429,13,121,245,"$367,840.00 ",,,,,,,,,,,,
13787,"3,609",2,0.28,0.28,,,42.39,"1,349.40",1530,636,771,1482,1446,1839,534,533,245,"$314,335.00 ",,,,,,,,,,,,
13790,"18,053",56,1.55,1.55,,,8.48,269.76,15310,14044,11030,7067,1473,2372,553,1392,2052,"$282,741.00 ",,,,,,,,,,,,
13794,71,,,,,,"2,154.93","68,591.55",23,88,0,0,0,79,6,11,15,"$431,333.00 ",,,,,,,,,,,,
13795,"3,488",12,1.72,1.72,2,,"1,465.88","11,678.04",1890,2411,3272,2040,776,460,127,33,725,"$356,118.00 ",,,,,,,,,,,,
13797,"2,111",4,0.95,0.95,,,72.48,"2,306.96",706,732,446,590,507,1598,666,470,323,"$337,075.00 ",,,,,,,,,,,,
13802,761,2,1.31,1.31,,,201.05,"6,399.47",30,3,97,810,185,493,63,44,246,"$417,041.00 ",,,,,,,,,,,,
13813,510,4,3.92,3.92,,,300,"9,549.02",164,158,225,761,249,233,375,75,0,"$333,891.00 ",,,,,,,,,,,,
13826,13,,,,,,"11,769.23","374,615.38",0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
13833,"4,131",4,0.48,0.48,,,37.04,"1,178.89",1131,1794,3678,3839,1046,1314,302,423,731,"$358,381.00 ",,,,,,,,,,,,
13848,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13850,"22,204",126,2.84,2.84,,2,14.28,378.04,11486,17628,15230,12989,2979,2849,1044,931,2661,"$436,024.00 ",,,,,,,,,,,,
13851,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13862,"4,508",20,2.22,2.22,,,33.94,"1,080.30",1713,1175,940,1983,1468,3712,828,1178,638,"$382,181.00 ",,,,,,,,,,,,
13865,"6,232",12,0.96,0.96,,2,821.73,"6,581.19",1524,2790,3887,3635,2572,3995,1159,534,1022,"$397,490.00 ",,,,,,,,,,,,
13901,"19,467",64,1.64,1.64,,5,503.67,"3,044.69",8742,11688,13892,11581,2781,3685,1543,1856,1586,"$291,308.00 ",,,,,,,,,,,,
13902,"6,240",58,4.65,4.65,,,24.52,780.45,3358,2932,494,197,44,128,120,0,63,"($4,666,666,662.00)",,,,,,,,,,,,
13903,"18,400",74,2.01,2.01,,,8.32,264.67,9366,17418,12800,7904,2110,3545,1092,1023,2543,"$307,953.00 ",,,,,,,,,,,,
13904,"9,965",22,1.1,1.1,,4,764.68,"4,963.77",5456,6838,6326,2908,1213,1717,562,432,1418,"$302,430.00 ",,,,,,,,,,,,
13905,"26,509",92,1.74,1.74,8,4,287.56,"1,974.16",14566,21460,16446,11328,2524,3102,1020,1285,3405,"$247,707.00 ",,,434,,,2303.666,,,78,434,2303.666,78
Cattaraugus County,"74,859",116,0.77,0.77,8,10,108.55,708.68,58609,38093,28044,24918,11684,19588,10548,13697,13972,"($5,991,720,371.00)",,,,,,,,,,,,
14041,176,,,,,,869.32,"27,670.45",71,166,22,167,0,110,0,118,109,"$300,108.00 ",,,,,,,,,,,,
14042,"3,984",6,0.75,0.75,,,38.4,"1,222.39",2372,1566,1478,535,468,1012,920,1631,957,"$253,487.00 ",,,,,,,,,,,,
14060,303,,,,,,504.95,"16,072.61",94,77,184,316,39,125,127,116,316,"$275,794.00 ",,,,,,,,,,,,
14065,"1,811",4,1.1,1.1,,,84.48,"2,689.12",616,1144,527,472,281,278,284,648,595,"$302,347.00 ",,,,,,,,,,,,
14101,"1,944",6,1.54,1.54,,,78.7,"2,505.14",1221,293,1181,1084,391,596,674,481,727,"$367,556.00 ",,,,,,,,,,,,
14129,"1,593",4,1.26,1.26,,,96.05,"3,057.12",636,947,327,359,275,504,148,398,408,"$335,935.00 ",,,,,,,,,,,,
14138,"1,992",,,,,,76.81,"2,444.78",831,555,709,1107,581,803,425,543,496,"$332,153.00 ",,,,,,,,,,,,
14168,79,,,,,,"1,936.71","61,645.57",142,15,55,0,0,0,6,44,0,"($1,333,101,826.00)",,,,,,,,,,,,
14171,"2,219",2,0.45,0.45,,,68.95,"2,194.68",811,652,688,590,355,437,615,895,690,"$322,159.00 ",,,,,,,,,,,,
14173,361,2,2.77,2.77,,,423.82,"13,490.30",269,431,197,0,47,0,0,51,64,"($666,475,225.00)",,,,,,,,,,,,
14706,"6,235",10,0.8,0.8,,,24.54,781.07,4547,4902,3322,2326,624,923,202,705,1189,"$356,689.00 ",,,,,,,,,,,,
14719,"3,325",2,0.3,0.3,,,46.02,"1,464.66",1599,953,1070,1193,484,1353,826,966,1126,"$310,829.00 ",,,,,,,,,,,,
14726,"1,902",,,,,,80.44,"2,560.46",930,420,448,321,212,425,365,366,331,"$276,042.00 ",,,,,,,,,,,,
14729,906,2,1.1,1.1,,,168.87,"5,375.28",372,272,680,452,98,240,308,425,354,"$381,240.00 ",,,,,,,,,,,,
14730,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14731,"1,246",14,5.62,5.62,,2,"4,089.89","32,434.99",1330,460,434,328,236,254,269,639,353,"$378,222.00 ",,,,,,,,,,,,
14737,"4,312",6,0.7,0.7,,,35.48,"1,129.41",2392,543,943,1467,1246,2181,718,682,1284,"$287,876.00 ",,,,,,,,,,,,
14741,"2,081",4,0.96,0.96,,,73.52,"2,340.22",881,1309,1159,1234,158,538,545,268,464,"$380,986.00 ",,,,,,,,,,,,
14743,"1,743",,,,,,87.78,"2,794.03",468,773,1496,1004,174,321,200,278,277,"$295,670.00 ",,,,,,,,,,,,
14748,664,,,,,,230.42,"7,334.34",480,327,374,313,26,154,61,29,152,"$234,759.00 ",,,,,,,,,,,,
14753,"1,105",2,0.9,0.9,,,138.46,"4,407.24",329,737,522,515,390,254,28,76,176,"$246,032.00 ",,,,,,,,,,,,
14755,"3,178",6,0.94,0.94,,,48.14,"1,532.41",1426,1186,1790,1528,450,989,787,710,535,"$318,966.00 ",,,,,,,,,,,,
14760,"18,207",24,0.66,0.66,,8,418.69,"2,874.33",22725,14478,6030,4544,2159,3573,1286,1783,1820,"$295,857.00 ",,,,,,,,,,,,
14770,"2,648",4,0.76,0.76,,,57.78,"1,839.12",1975,921,1387,1838,750,1136,266,476,478,"$363,944.00 ",,,,,,,,,,,,
14772,"4,025",6,0.75,0.75,,,38.01,"1,209.94",2508,880,1006,1569,1227,1771,713,749,371,"$301,158.00 ",,,,,,,,,,,,
14778,"1,423",,,,,,107.52,"3,422.35",1917,883,231,0,0,28,59,58,0,"($3,333,294,580.00)",,,,,,,,,,,,
14779,"6,849",14,1.02,1.02,8,,"1,186.45","7,745.80",7177,2930,1573,1439,972,1290,614,500,650,"$226,326.00 ",,,,,,,,,,,,
14783,396,,,,,,386.36,"12,297.98",311,80,211,217,41,151,102,8,50,"$253,944.00 ",,,,,,,,,,,,
14788,152,,,,,,"1,006.58","32,039.47",179,193,0,0,0,142,0,54,0,"($666,246,819.00)",,,,,,,,,,,,
Cayuga County,"75,706",190,1.25,1.25,,8,130.76,787.64,55958,41138,32346,26020,12224,22820,17275,16909,12034,"($5,993,231,328.00)",,,,,,,,,,,,
13021,"38,550",90,1.17,1.17,,6,256.78,"1,546.80",37963,29224,17650,9513,2779,7014,5915,8036,5194,"$330,990.00 ",,,,,,,,,,,,
13024,"1,705",,,,,,89.74,"2,856.30",0,0,0,0,0,0,0,0,0,"($4,666,666,662.00)",,,,,,,,,,,,
13026,"1,750",10,2.86,2.86,,,87.43,"2,782.86",2007,597,535,461,441,456,676,438,333,"$454,758.00 ",,,,,,,,,,,,
13033,"3,680",14,1.9,1.9,,,41.58,"1,323.37",1339,661,897,1553,1286,2567,2606,1473,651,"$405,510.00 ",,,,,,,,,,,,
13034,"1,936",10,2.58,2.58,,,79.03,"2,515.50",561,1179,1460,1049,241,371,404,454,566,"$414,718.00 ",,,,,,,,,,,,
13064,52,2,19.23,19.23,,,"2,942.31","93,653.85",0,0,0,0,0,4,0,0,34,"($1,333,028,124.00)",,,,,,,,,,,,
13071,834,2,1.2,1.2,,,183.45,"5,839.33",438,395,192,249,425,664,375,142,124,"$432,796.00 ",,,,,,,,,,,,
13081,"1,068",4,1.87,1.87,,,143.26,"4,559.93",507,310,314,494,526,630,451,369,248,"$406,739.00 ",,,,,,,,,,,,
13092,"2,461",8,1.63,1.63,,,62.17,"1,978.87",1117,1012,1234,1395,880,1769,704,382,381,"$453,877.00 ",,,,,,,,,,,,
13111,"1,619",2,0.62,0.62,,,94.5,"3,008.03",274,270,162,581,433,423,481,766,390,"$330,056.00 ",,,,,,,,,,,,
13113,279,,,,,,548.39,"17,455.20",128,44,90,37,81,312,87,37,50,"$453,594.00 ",,,,,,,,,,,,
13117,281,,,,,,544.48,"17,330.96",37,19,168,146,60,64,6,95,29,"$365,496.00 ",,,,,,,,,,,,
13118,"6,155",18,1.46,1.46,,,24.86,791.23,2959,1619,1552,2081,1592,2761,1783,1088,1030,"$392,837.00 ",,,,,,,,,,,,
13139,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13140,"4,530",6,0.66,0.66,,,33.77,"1,075.06",1857,1527,2681,2399,1229,1180,925,1065,720,"$337,873.00 ",,,,,,,,,,,,
13147,"1,316",,,,,,116.26,"3,700.61",842,247,978,878,381,746,382,394,185,"$492,542.00 ",,,,,,,,,,,,
13156,"2,060",2,0.49,0.49,,2,"2,479.13","19,699.03",756,594,511,1004,382,544,533,1065,810,"$357,380.00 ",,,,,,,,,,,,
13160,"2,022",4,0.99,0.99,,,75.67,"2,408.51",1672,899,1004,1249,393,513,90,368,453,"$445,200.00 ",,,,,,,,,,,,
13166,"5,408",18,1.66,1.66,,,28.29,900.52,3501,2541,2918,2931,1095,2802,1857,737,836,"$389,092.00 ",,,,,,,,,,,,
Chautauqua County,"132,572",368,1.39,1.39,6,14,77.91,453.01,108769,81365,67508,40649,16124,27819,13604,15251,15220,"($3,989,161,731.00)",372,247,,4059.352,2387.625,,58,53,,619,6446.977,111
14048,"14,303",28,0.98,0.98,,4,78.03,"1,075.02",17569,11674,5554,2560,673,1973,849,1200,1468,"$272,331.00 ",,,,,,,,,,,,
14062,"3,159",10,1.58,1.58,,,48.43,"1,541.63",1430,1458,1854,1400,473,825,371,584,473,"$346,621.00 ",,,,,,,,,,,,
14063,"14,725",54,1.83,1.83,4,2,514.77,"3,333.51",16950,10930,5414,2855,1058,1298,1438,1850,1974,"$342,261.00 ",372,,,4059.352,,,58,,,372,4059.352,58
14081,"3,097",38,6.13,6.13,,,49.4,"1,572.49",2201,1301,780,672,541,657,877,743,683,"$365,823.00 ",,,,,,,,,,,,
14135,87,,,,,,"1,758.62","55,977.01",27,93,163,26,20,28,0,0,31,"$306,676.00 ",,,,,,,,,,,,
14136,"5,027",8,0.8,0.8,,,30.44,968.77,3651,2474,2179,1690,682,1179,888,1181,967,"$326,461.00 ",,,,,,,,,,,,
14701,"39,595",72,0.91,0.91,2,6,260.87,"1,516.78",35950,30603,22247,9335,2968,5781,1992,3225,2910,"$256,411.00 ",,247,,,2387.625,,,53,,247,2387.625,53
14702,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
14710,"3,233",12,1.86,1.86,,,47.32,"1,506.34",1034,1808,1789,2168,894,987,316,405,500,"$368,724.00 ",,,,,,,,,,,,
